"","month","srv_addr","date_post","admin","chat","info","economy","plugin_count","rulesum"
"148",7,"45.56.90.133:25875",2015-05-13,12,5,10,11,55,1883
"149",7,"mc.psychedelicraft.com",2015-05-13,9,1,5,5,25,1883
"150",7,"archoncrafters.com",2015-05-13,7,3,8,6,42,1883
"151",7,"levian.factions.ws",2015-05-13,9,1,6,9,26,1883
"152",7,"mc.ironcraft.community",2015-05-13,1,1,4,0,9,1883
"153",7,"192.99.20.170:29653",2015-05-13,8,1,6,7,24,1883
"154",7,"initianovamc.com",2015-05-13,15,5,13,15,59,1883
"155",7,"74.91.124.33",2015-05-13,12,2,6,12,36,1883
"156",7,"mc.pokecraftsg.com",2015-05-13,16,5,9,6,42,1883
"157",7,"ts.scarletacres.com",2015-05-13,6,3,8,5,30,1883
"158",7,"windoom.com",2015-05-13,13,1,7,5,41,1883
"159",7,"mc.minecraftmuffin.com",2015-05-13,10,2,6,7,32,1883
"160",7,"baaacraft.mcpickle.com",2015-05-13,14,3,5,9,37,1883
"161",7,"mc.screwj.com",2015-05-13,2,0,1,3,8,1883
"162",7,"login.misfitmc.com",2015-05-13,22,4,14,10,67,1883
"163",7,"civheroes.ddns.net",2015-05-13,4,4,6,3,31,1883
"164",7,"gamemotion.apexminecraft.com",2015-05-13,3,0,0,0,3,1883
"165",7,"play.royalrebelsmc.com",2015-05-13,13,5,10,7,48,1883
"166",7,"play.amishsmp.com",2015-05-13,12,1,4,2,28,1883
"167",7,"198.143.173.228",2015-05-13,9,6,3,2,20,1883
"168",7,"mc.mazecraft.us",2015-05-13,8,0,3,6,25,1883
"169",7,"play.theingotguild.com",2015-05-13,1,1,1,7,11,1883
"170",7,"76.164.203.130:25896",2015-05-13,21,5,12,13,59,1883
"171",7,"play.alysianblue.com",2015-05-13,14,4,6,8,47,1883
"172",7,"mc.diversitysmp.com",2015-05-13,13,2,8,9,44,1883
"173",8,"37.10.98.69",2015-06-17,20,1,7,10,45,30187
"174",8,"85.131.220.18",2015-06-17,3,0,2,6,14,30187
"175",8,"134.255.209.78",2015-06-17,0,0,1,0,3,30187
"176",8,"85.131.155.109",2015-06-17,2,0,0,4,13,30187
"177",8,"druguniverse.beastmc.com",2015-06-03,10,1,5,10,27,30187
"178",8,"69.25.207.169",2015-06-17,2,3,1,4,10,30187
"179",8,"85.131.236.220",2015-06-17,1,0,1,0,2,30187
"180",8,"31.214.198.18",2015-06-17,0,0,1,0,2,30187
"181",8,"62.210.90.161",2015-06-17,5,3,6,1,22,30187
"182",8,"minecraft.glaciem.com",2015-06-03,6,2,4,5,23,30187
"183",8,"78.143.10.10",2015-06-17,0,1,2,1,6,30187
"184",8,"play.sentinelcraft.net",2015-06-03,15,1,7,11,40,30187
"185",8,"195.82.159.249",2015-06-17,8,4,4,9,30,30187
"186",8,"162.248.95.208",2015-06-17,4,1,2,6,14,30187
"187",8,"31.214.134.145",2015-06-17,1,1,4,3,10,30187
"188",8,"217.114.198.221",2015-06-17,2,0,1,2,7,30187
"189",8,"85.131.236.184",2015-06-17,1,0,1,0,2,30187
"190",8,"play.crypticcraft.club",2015-06-03,15,4,10,10,50,30187
"191",8,"212.83.132.97",2015-06-17,6,1,4,1,18,30187
"192",8,"62.104.177.80",2015-06-17,5,4,2,4,19,30187
"193",8,"jailmc.com",2015-06-03,14,9,8,11,58,30187
"194",8,"80.95.150.66",2015-06-17,9,2,6,7,28,30187
"195",8,"5.62.117.211",2015-06-17,2,0,1,5,10,30187
"196",8,"64.74.111.172:25569",2015-06-17,4,2,2,8,16,30187
"197",8,"64.74.111.226",2015-06-17,10,3,2,5,23,30187
"198",8,"128.65.213.124",2015-06-17,3,0,1,2,10,30187
"199",8,"31.214.204.250",2015-06-17,4,1,1,1,7,30187
"200",8,"198.143.155.99",2015-06-03,9,5,7,5,45,30187
"201",8,"85.131.155.78",2015-06-17,6,1,4,5,22,30187
"202",8,"78.143.37.245",2015-06-17,15,5,8,7,36,30187
"203",8,"85.131.174.187",2015-06-17,5,1,2,7,17,30187
"204",8,"74.63.196.30",2015-06-17,2,0,0,0,2,30187
"205",8,"46.251.246.253",2015-06-17,5,3,5,1,20,30187
"206",8,"31.214.166.169",2015-06-17,5,0,1,5,13,30187
"207",8,"5.62.64.106",2015-06-17,1,0,0,0,2,30187
"208",8,"85.114.155.253",2015-06-17,6,0,6,10,28,30187
"209",8,"162.255.214.100",2015-06-17,2,0,1,0,5,30187
"210",8,"37.157.248.240",2015-06-17,2,0,1,0,4,30187
"211",8,"85.131.155.148",2015-06-17,0,1,4,3,8,30187
"212",8,"mc.playtdmc.net",2015-06-03,8,6,4,7,27,30187
"213",8,"85.131.204.231",2015-06-17,6,5,3,2,28,30187
"214",8,"mc.pixellife.us",2015-06-17,19,4,14,9,50,30187
"215",8,"31.214.199.56",2015-06-17,1,0,1,0,7,30187
"216",8,"85.14.229.150",2015-06-17,3,1,0,4,9,30187
"217",8,"198.100.146.5",2015-06-17,3,0,1,2,7,30187
"218",8,"78.143.30.120",2015-06-17,11,8,9,10,40,30187
"219",8,"37.10.103.200",2015-06-17,9,2,5,9,34,30187
"220",8,"5.62.125.37",2015-06-17,4,0,2,2,9,30187
"221",8,"85.114.151.233",2015-06-03,11,2,5,6,34,30187
"222",8,"85.114.155.58",2015-06-17,1,0,0,0,2,30187
"223",8,"107.184.80.108",2015-06-17,4,0,4,4,13,30187
"224",8,"184.95.61.122:25555",2015-06-03,5,1,2,13,25,30187
"225",8,"217.114.193.205",2015-06-17,6,1,5,6,21,30187
"226",8,"178.32.174.143",2015-06-17,1,1,1,0,6,30187
"227",8,"broventure.minecraft.ms",2015-06-17,7,0,2,7,23,30187
"228",8,"play.virtualmc.co.uk",2015-06-03,13,9,8,7,41,30187
"229",8,"198.50.202.129:25954",2015-06-03,14,3,4,10,37,30187
"230",8,"5.255.70.70:25964",2015-06-03,9,1,6,4,29,30187
"231",8,"31.214.205.192",2015-06-17,1,0,1,0,3,30187
"232",8,"5.135.18.64",2015-06-17,1,0,1,3,6,30187
"233",8,"198.27.81.79",2015-06-17,7,2,3,13,27,30187
"234",8,"37.10.122.223",2015-06-17,2,0,2,5,10,30187
"235",8,"91.121.65.203",2015-06-17,4,0,3,7,22,30187
"236",8,"5.196.214.118",2015-06-17,12,3,5,7,36,30187
"237",8,"198.24.178.77",2015-06-17,6,1,1,6,14,30187
"238",8,"75.98.159.213",2015-06-17,8,4,4,6,30,30187
"239",8,"93.186.206.87",2015-06-17,3,1,1,4,9,30187
"240",8,"31.214.143.97",2015-06-17,2,1,2,2,9,30187
"241",8,"23.235.252.67",2015-06-17,2,0,2,6,12,30187
"242",8,"198.144.179.25",2015-06-17,6,0,2,5,15,30187
"243",8,"176.31.134.161",2015-06-17,11,1,10,7,38,30187
"244",8,"174.34.163.233",2015-06-17,2,3,4,0,9,30187
"245",8,"85.131.221.77",2015-06-17,1,0,1,0,3,30187
"246",8,"37.59.43.160",2015-06-17,13,0,5,9,32,30187
"247",8,"217.198.130.167",2015-06-17,0,0,1,0,3,30187
"248",8,"188.165.94.40",2015-06-17,6,0,1,4,16,30187
"249",8,"80.86.186.13",2015-06-17,1,0,0,0,4,30187
"250",8,"192.198.104.214",2015-06-17,2,0,1,3,10,30187
"251",8,"76.27.58.230",2015-06-17,6,1,4,8,21,30187
"252",8,"stewmc.apexmc.co:25862",2015-06-03,15,3,6,10,53,30187
"253",8,"46.228.206.154",2015-06-17,1,0,1,1,4,30187
"254",8,"78.143.37.96",2015-06-17,4,1,1,1,9,30187
"255",8,"46.251.247.125",2015-06-17,1,1,3,0,4,30187
"256",8,"85.131.248.16",2015-06-17,0,0,2,0,2,30187
"257",8,"77.111.253.79",2015-06-17,4,1,1,7,12,30187
"258",8,"162.255.212.31",2015-06-17,2,3,1,0,8,30187
"259",8,"109.239.146.217",2015-06-17,4,0,1,0,6,30187
"260",8,"85.190.175.225",2015-06-17,9,0,4,4,19,30187
"261",8,"46.174.53.175",2015-06-17,16,1,10,7,39,30187
"262",8,"31.214.216.174",2015-06-17,1,0,1,0,10,30187
"263",8,"5.231.70.141",2015-06-17,5,0,1,3,9,30187
"264",8,"78.143.30.216",2015-06-17,0,1,1,0,2,30187
"265",8,"192.227.132.197",2015-06-03,9,2,10,10,34,30187
"266",8,"5.62.109.91",2015-06-17,5,2,1,8,15,30187
"267",8,"162.244.165.61",2015-06-03,11,1,2,8,24,30187
"268",8,"128.65.213.169",2015-06-17,2,1,1,0,4,30187
"269",8,"31.214.192.185",2015-06-17,4,1,3,6,20,30187
"270",8,"applesurvival.crystal-serv.com:29320",2015-06-03,9,0,6,11,28,30187
"271",8,"5.62.110.244",2015-06-03,7,2,6,3,30,30187
"272",8,"109.230.248.84",2015-06-17,2,1,1,0,6,30187
"273",8,"iplay.mc-srv.com:25581",2015-06-03,8,1,2,5,21,30187
"274",8,"46.105.151.104",2015-06-17,12,3,3,7,34,30187
"275",8,"beast.pwnz.org",2015-06-17,4,1,1,5,11,30187
"276",8,"oceanus.gamename.net:25700",2015-06-03,8,4,4,5,35,30187
"277",8,"81.30.155.37",2015-06-17,4,0,1,7,12,30187
"278",8,"66.150.188.127",2015-06-17,1,0,1,5,15,30187
"279",8,"128.65.219.4",2015-06-17,0,0,1,1,7,30187
"280",8,"188.165.245.196",2015-06-17,0,0,1,4,7,30187
"281",8,"gcpvp.com",2015-06-03,25,4,11,12,69,30187
"282",8,"85.190.129.166",2015-06-17,2,0,1,0,4,30187
"283",8,"64.74.111.57",2015-06-17,6,1,1,4,15,30187
"284",8,"5.101.167.2",2015-06-17,1,1,1,5,11,30187
"285",8,"94.249.149.173",2015-06-17,1,0,0,4,5,30187
"286",8,"193.111.142.252",2015-06-17,4,0,3,0,9,30187
"287",8,"mc.shatteredmines.com",2015-06-03,9,2,4,11,38,30187
"288",8,"109.169.58.48",2015-06-17,10,3,7,7,53,30187
"289",8,"initianovamc.com",2015-06-17,13,5,11,12,52,30187
"290",8,"5.62.97.208",2015-06-17,1,1,0,0,2,30187
"291",8,"85.114.155.94",2015-06-17,1,1,0,0,2,30187
"292",8,"217.198.142.151",2015-06-17,11,0,6,7,30,30187
"293",8,"78.143.18.54",2015-06-17,1,1,4,1,8,30187
"294",8,"192.99.38.164:26721",2015-06-17,9,1,3,12,36,30187
"295",8,"5.62.105.204",2015-06-17,1,0,0,0,2,30187
"296",8,"5.62.121.159",2015-06-17,2,0,1,2,7,30187
"297",8,"5.62.66.233",2015-06-17,16,4,9,8,44,30187
"298",8,"128.65.221.223",2015-06-17,0,1,1,0,2,30187
"299",8,"46.174.53.242",2015-06-17,8,3,5,3,26,30187
"300",8,"104.254.233.66",2015-06-17,3,0,0,6,8,30187
"301",8,"198.24.180.136",2015-06-03,13,3,11,12,57,30187
"302",8,"minecraft.eudia-webber.eu:25563",2015-06-03,5,3,5,4,24,30187
"303",8,"alluminus.net",2015-06-03,15,2,9,7,49,30187
"304",8,"198.143.150.73",2015-06-17,11,1,4,8,39,30187
"305",8,"217.114.197.177",2015-06-17,1,0,1,5,8,30187
"306",8,"78.143.36.15",2015-06-17,2,1,2,0,7,30187
"307",8,"85.190.148.201",2015-06-17,2,2,2,0,7,30187
"308",8,"89.163.227.215",2015-06-17,3,0,1,5,9,30187
"309",8,"46.105.74.104",2015-06-03,16,3,5,8,48,30187
"310",8,"217.114.199.83",2015-06-17,4,1,2,5,12,30187
"311",8,"aristocraft.servegame.com",2015-06-03,12,1,12,6,40,30187
"312",8,"217.198.134.253",2015-06-17,3,0,3,8,16,30187
"313",8,"37.10.102.7",2015-06-17,1,0,0,0,2,30187
"314",8,"217.23.9.118",2015-06-17,7,2,4,4,22,30187
"315",8,"elyeramc.fluctis.com:25949",2015-06-03,8,2,3,6,23,30187
"316",8,"85.131.200.207",2015-06-17,6,3,3,4,28,30187
"317",8,"37.59.196.28",2015-06-17,7,1,2,9,24,30187
"318",8,"5.101.161.91",2015-06-17,1,0,2,4,7,30187
"319",8,"dragon-forge.net",2015-06-03,5,0,4,4,14,30187
